talkNo,title,content,content_date,comments
978448,17살 알바고민,알바 지원했는데 점장님(?)들이 열람만 하고 연락을 안주세요 그럼 탈락한거죠..?돈이 너무 부족해서 알바를 하려는데 알바추천도 해주세요..,2025-01-31 23:22,"[{""comment_date"": ""2025-01-31 23:35"", ""comment_text"": ""17살은 보통 잘 안 뽑죠.. 힘들다고 도망가는 친구들이 많아요. 미자가 하기엔 조건이 안 맞아서 그런걸 수도 있구요. 편의점도 주류, 담배 문제로 안 뽑기 때문에 해봤자 식당이나 프렌차이즈? 위주로 구할 수 밖에 없는거 같아용. 주말알바는 조금 수월하게 뽑히실 수도 있어요""}, {""comment_date"": ""2025-01-31 23:39"", ""comment_text"": ""롯데리아 지원해보셈""}, {""comment_date"": ""2025-01-31 23:43"", ""comment_text"": ""무책임하게 잠수타는 사람들이 많아서 좀 꺼리는듯... 하루이틀 하다 힘들면 그냥 연락없이 안나옴 ㅜㅠ""}, {""comment_date"": ""2025-02-01 00:24"", ""comment_text"": ""최저시급이나 파트타임부터 도전해보세요.\n\n저도 고등학생때부터 일을 했는데\n다음부터라도 잘 뽑히고 싶다면 경력이 먼저 필요할거에요.\n\n10~20명 이하의 중소기업(보통 쇼핑몰)에서\n사무보조를 뽑는 경우가 많아서\n오히려 카페나 편의점보다 취업하기 수월할 수도 있어요.\n\n대신 유튜브나 검색 등의 정보들을 적극 활용해\n업무 습득을 빠르게 하는 것이 유리합니다.\n\n화이팅입니다!""}]"
978445,올리브영 알바,올리브영 알바 학생도 써주나요..??ㅜㅜ무경력 알바인데 알바 구하기가 너무 힘들어요 ㅜㅜ,2025-01-31 23:03,[]
978442,고깃집 알바 출근2번째에 담주 일본여행 간다고 말하기,사실 일본여행 면접 전부터 있던 일정이라 면접볼때 말씀 드렸어야 했는데 말씀을 못 드렸어요.사장님 입장에서도 당황스럽고 저도 너무 염치없는거 아는데 말씀은 드려야해서 문자 보내버렸는데 보니까 수습기간에 여행일정이 있으면 사장님입장에선 진짜 화도 나실거 같고 너무 죄송하네요..알바 오래할 생각이긴했는데 이런식으로 간다고 해버리면 사장님 입장에선 신뢰도 안되고 솔직히 쓰기 좀 힘들거 같다고 생각이들어서 그냥 그만둔다고 하는게 나을까요?,2025-01-31 22:42,"[{""comment_date"": ""2025-01-31 22:58"", ""comment_text"": ""면접때 언제부터 일 가능하다고 얘기하지 않나요 \n미리 왜 말을 안했는지 모르겠네요 \n사장님이 좀 어이없겠네요 무책임하게 보일듯...""}, {""comment_date"": ""2025-01-31 23:02"", ""comment_text"": ""그런 마인드면 일할 생각마세요 ㅡㅡ""}, {""comment_date"": ""2025-01-31 23:41"", ""comment_text"": ""그냥 백수로 사셈""}, {""comment_date"": ""2025-02-01 00:00"", ""comment_text"": ""니 꼴리는데로 하세요  노답이네  앞으로의 인생 보이네""}, {""comment_date"": ""2025-02-01 00:11"", ""comment_text"": ""죄송하다고 해서 해결되면  법이 필요없지""}, {""comment_date"": ""2025-02-01 00:22"", ""comment_text"": ""일본가는걸 포기하세요""}, {""comment_date"": ""2025-02-01 00:23"", ""comment_text"": ""첫 알바라 진짜 열심히 할 생각이긴한데 미리말씀 못 드리고 일주일 전에 말씀 드린게 수습기간에 너무 민폐인거 알아서..이 상황에서 장님입장에선 알바생이 어떻게 하는게 나을까요?""}, {""comment_date"": ""2025-02-01 00:35"", ""comment_text"": ""둘 다 욕심내는건 무리인것 같습니다. 매장 관리자로 일했던 입장으로써 이렇게 요구하는 직원 있으면 다른 사람으로 쉽게 바꿀 수 있는 자리를 궂이 해당 직원과 오래 가지 않고 싶을거에요.\n(그마저도 신입이라면 더더욱이요)\n\n여행과 일을 모두 잡고 싶다면 최소 3개월이라도 열심히 일하는 모습을 보여주시고 그 뒤로 일정을 미루세요. 그렇게까지 하고 싶은 의지가 없다면 일을 그만두는게 좋아보이네요.""}, {""comment_date"": ""2025-02-01 01:00"", ""comment_text"": ""조언대로 죄송하다고 말씀드리고 그만두는게 제일 나을거 같긴하네요…너무 죄송스럽고 그냥 일본 갔다와서 다시 알바를 구하는게 맞는거 같네요.너무 무책임하고 생각도 짧고 죄송스럽고 하…너무 죄송스러워요…""}]"
978440,무경력인데 알바 구하기 ㄹㅇ 힘들다,그나마 편의점에서 뽑아주나,2025-01-31 22:23,"[{""comment_date"": ""2025-01-31 22:26"", ""comment_text"": ""편의점 도전해보세요 경력 없어도 뽑아줘요. 힘내세요""}, {""comment_date"": ""2025-01-31 22:39"", ""comment_text"": ""면접은 가보세요. 근데 편의점이 은근 무경력 안뽑아요""}, {""comment_date"": ""2025-01-31 22:46"", ""comment_text"": ""편의점 해본적 없다고 하니,경력있는사람 뽑는다고 죄송하다는 답변 받았어요. 편의점.카페 둘다 경력 없다면 안뽑아요..물론 1년 계약이라치고,수습급여 주는곳은 있겠지만요""}, {""comment_date"": ""2025-01-31 23:05"", ""comment_text"": ""요즘 편의점도 포스기 배워야하고 로또도 하고 담배이름 위치 알아야하고 물품,쓰레기정리 즉석조리식품 등등 업무가 많아 쉬운게 아님\nPC방도 메뉴가 웬만한 식당보다 많아서 장난 아님""}, {""comment_date"": ""2025-01-31 23:05"", ""comment_text"": ""편의점도 인기업종이라 자리가 안나던데요...  다 야간..""}, {""comment_date"": ""2025-01-31 23:44"", ""comment_text"": ""경력이 있어도 요즘 알바구하기가 힘드네요..""}, {""comment_date"": ""2025-02-01 00:24"", ""comment_text"": ""경력없는 사람은 야간이라도 하고 와야해요""}, {""comment_date"": ""2025-02-01 01:29"", ""comment_text"": ""넌 안뽑아""}]"
978438,엄마가 좋은데 취직하지 말라고,때리는 엄마도 있나? 우리 엄마가 그랬는데나 여자거든?남자들은 니가 벌어서 취업하고 공부하란부모 봤어도 졸업하기 전부터 좋은 회사 가지 말라고 때리고 용돈 끊은건 본적이 없어,2025-01-31 22:08,"[{""comment_date"": ""2025-01-31 23:14"", ""comment_text"": ""에효...일기장에다쓰자좀""}, {""comment_date"": ""2025-01-31 23:15"", ""comment_text"": ""이건 좀 뭔가 이상한데..? 중소 가지 말라고 말리는 사람은 봤어도 좋은데 가지 말라고 하는 부모는 뭐야 도대체...?""}, {""comment_date"": ""2025-01-31 23:29"", ""comment_text"": ""엄마한테 잘난척할거라고 방에 가두고 때리고 아빠랑 남동생한테는 내가 남자랑 바람피고 다녀서 때렸다고 거짓말함""}, {""comment_date"": ""2025-02-01 01:40"", ""comment_text"": ""엥?""}]"
978437,취업해서 일줄하고 관둬도 돼나?,하지말까?시험이 얼마 안남아소 폰비랑 책값만 벌고싶어,2025-01-31 21:59,"[{""comment_date"": ""2025-01-31 23:02"", ""comment_text"": ""무슨일인지 모르지만 일주일 정도는 일 배우는 시기일텐데 일주일만 일하고 관두면 재수없지 않나요\n일주일만 일하는줄 알았으면 안뽑았을건데?? 일주일만 일할거라고 미리 얘기하지  않는이상 욕먹을듯""}, {""comment_date"": ""2025-01-31 23:19"", ""comment_text"": ""일주일이란 단어가 줄임말 할 정도로 긴가? 뭔말인가 했네;;;별걸 다 줄이네 알아 듣게 씁시다.""}, {""comment_date"": ""2025-01-31 23:44"", ""comment_text"": ""일주일할거면 그냥 일당이나뜌ㅣ셈""}, {""comment_date"": ""2025-01-31 23:59"", ""comment_text"": ""그냥 단순물류업무인데 쿠팡확정이 넘  안나서""}, {""comment_date"": ""2025-02-01 00:04"", ""comment_text"": ""ㅇㅇ 관두면 됨 ㅋㅋㅋㅋㅋㅋ""}]"
978435,주휴수당1,어떠한 물류센터에서 일하고 있는데 평일에 연차를 쓰면 주휴수당이 안나옵니다 토요일만 써야 주휴수당이 나옵니다. 이게 맞는걸까요?,2025-01-31 21:34,[]
978434,공장일 잔업은 물량이 많냐 없냐에 따라서 회사에서 결정하는건가요 ?,/,2025-01-31 21:32,"[{""comment_date"": ""2025-01-31 23:11"", ""comment_text"": ""많냐 없냐는 중요하지 않고 그 하루에 할당량 정해진 게 있어요. 부서마다. 많이 들어오든 사람이 그걸 다 못해내면 도루묵이라 관리자가 물량 체크해서 정합니다. 그 할당량에 못미치면 잔업인데 대부분 높게 잡죠. 기계처럼 부려야 수량이 확인되니까요.""}]"
978433,올리브영 3잡 가능할까요?,올리브영에서 너무 일하고 싶습니다오늘 면접 봤는데 점장님이 사람을 너무 존중해 주시는 게 느껴지고 메이트 분들도 친절하셨어요합격 통보는 아직 못 받았는데 여기서 일하면 정말 좋겠다는 생각이 처음 들어서 너무 바라고 있습니다근데 올리브영이 투잡이 안된다고 하더라고요?? 전 2집도 아니도 3잡인데..뒤늦게 알아서 여쭤보지도 못했어요지금 하고 있는 알바 다 4대보험 떼는데 그냥 포기해야 할까요?아니면 다시 여쭤볼까요? 너무 설레발일까요 하…ㅜㅠㅠㅠㅠㅠ,2025-01-31 21:23,"[{""comment_date"": ""2025-01-31 21:33"", ""comment_text"": ""아악…포기못해ㅜㅜㅜㅜ""}, {""comment_date"": ""2025-01-31 22:03"", ""comment_text"": ""전 같이 일한 메이트가 3잡이였는데…\n담부턴 굳이 말하지 마시고 일하세요…\n보통 올영 바쁘면 연장해달라하는데 투잡씩 뛰면 연장 안되니까 꺼리는 경우가 많아여""}, {""comment_date"": ""2025-01-31 23:51"", ""comment_text"": ""냉정하게 말해줄께 계속 할거면 3잡 말하지 말고 힘든거 티내지마 절대 좋게 안봄 같이 일하는 사람들이 내가 얘 커버쳐줘야 하나 생각함 다 먹고 살기 힘들거든""}, {""comment_date"": ""2025-01-31 23:51"", ""comment_text"": ""그리고 월급 줄때 걸림""}, {""comment_date"": ""2025-02-01 01:25"", ""comment_text"": ""윗 댓글이 맞는게 저도 올영포함 쓰리잡 했는데 본인이 말 안하면 몰라요 대신 쓰리잡하는거 티 내지말고\n내는 순간 힘든 티 보이면 꼬투리 잡아여 ㄷㄷㄷ""}, {""comment_date"": ""2025-02-01 01:27"", ""comment_text"": ""4대보험 같은 것도 보통 다른 근무지가 수입이 올영보다 높으면 연락이 간다고 하는데 이게 공무원들이 하는일 이고\n걔들이 그거 일일이 찾을만큼 한가하지도 않고\n굳이 지들이 일을 더 하지 않을거라고 봐여""}]"
978432,최저임금 관련해서 여쭤보고싶은게 있어요 알려주시면 감사하겠습니다!,편의점에서 11월 29일부터 일해서 28~30일 이틀은 편의점 교육급여라고 50%만 받았습니다. 11시간 일했구요. 12월 1일부터는 미성년자여서 사장님이 시급을 휴게시간 10분 제외해서 8215원을 받기로 일하기 전에 합의해서 그렇게 받았고요. 1월부터는 만 18세가 되었으니 올해 기준 최저시급인 10030원을 받는 줄 알았는데 전화해보니 또 10분을 제외해서 준다고 하더라고요. 모든 알바생이 그렇게 받는다고..근데 근로계약서는 최저시급 기준으로 썼거든요 이 경우에 고용노동부에 신고하면 못 받은 급여를 받을 수 있을까요?,2025-01-31 21:22,"[{""comment_date"": ""2025-01-31 21:37"", ""comment_text"": ""넹 받을수 잇어요""}]"
978431,서운산업단지,케이피나인이라는 회사 일해보신분 후기부탁해요,2025-01-31 21:20,[]
978429,마켓컬리 평택 상온 21시 셔틀 없나요?,"3시간 일하는 파트 있잖아요, 셔틀 공고 아무리봐도 안보여서.. 자차타고 출근 가능한 사람들만 가능한건가요?",2025-01-31 21:12,"[{""comment_date"": ""2025-01-31 21:49"", ""comment_text"": ""엉 없어 자차로 와야되""}, {""comment_date"": ""2025-01-31 22:49"", ""comment_text"": ""19시30분도 셔틀 없어요 자차로 타고가야 합니다""}]"
978428,평태 컬리P팀 냉장,내일 평택컬리P팀 냉장 19시30분 첫출근하는데 일하는거 많이 빡센가요? 지인이 많이 힘들다고 하는데 그렇게 힘든가요? 냉장쪽은 처음이여서요,2025-01-31 20:51,[]
978427,컬리 문자 주는시간이,통근버스 타기 1시간전에 근무가능하신분 문자오는데 이렇게 문자주면 통근버스를 타라는건지 모르겠네 r팀,2025-01-31 20:32,"[{""comment_date"": ""2025-01-31 20:37"", ""comment_text"": ""사람이 급한가보네여""}, {""comment_date"": ""2025-01-31 20:38"", ""comment_text"": ""ㄴ 문자를 미리 줘야하는거 아닌가요""}, {""comment_date"": ""2025-01-31 21:10"", ""comment_text"": ""마켓컬리 주차 가능해서 자차 타고라도 올 수 있는 사람들 오라는 것 같아요""}]"
978425,단기알바 ㅅㅇㅂ 조심,전화면접/카페대면면접/엠비티아이/정신질환유무/타투유무/실질적회사없음/합정역/여의도위에 해당되는 것 있으면 꼭 의심해보세요*면접비 대신 컨설팅* 해준다고하면 ..,2025-01-31 20:30,"[{""comment_date"": ""2025-01-31 22:59"", ""comment_text"": ""저도 당할뻔했어요ㅋㅋㅋㅋㅋㅋㅋ 완전 똑같네요...""}]"
978424,사장이 이상한거임?,오늘 메가커피 알바 면접 보고 왔는데얼마 걸리냐길래 버스로 25분 걸린다고 했거든거리가 먼데 근무 할 수 있겠냐고 그러셨어..알바 면접 수도 없이 봤었는데 이런 경우는 처음인데진짜 진심으로 멀다고 생각하시는걸까?? 객관적으로 이게 먼 거리야?? 아님 걍 나를 테스트 하려고...? 내가 싫은건가?,2025-01-31 20:02,"[{""comment_date"": ""2025-01-31 20:04"", ""comment_text"": ""버스타고 25분이면 먼거리가 아닌데 ㅋㅋㅋ 장난하나 ㄴㅋㅋ 걍 너가 싫은듯.. 너 남자지?""}, {""comment_date"": ""2025-01-31 20:05"", ""comment_text"": ""ㄴ 여자임.""}, {""comment_date"": ""2025-01-31 20:06"", ""comment_text"": ""누가 자주 지각했거나 멀어서 그만둔다고 말했나보네""}, {""comment_date"": ""2025-01-31 20:45"", ""comment_text"": ""버스타고 25분이면 먼거리임""}, {""comment_date"": ""2025-01-31 20:46"", ""comment_text"": ""ㄴ 그렇게 생각하는 사람도 있구나 ㅇㅋㅇㅋ""}, {""comment_date"": ""2025-01-31 21:01"", ""comment_text"": ""1곳 제외하고 편도로 40-45분 이였음.순수 버스/지하철 타는시간 30분..?) 사장님이 집앞이 업장인 사람을 찾는 건가??""}, {""comment_date"": ""2025-01-31 21:02"", ""comment_text"": ""엇.. 나두 걸어서도 아니구 버스로 25분이면 멀다구 생각했는데!!""}, {""comment_date"": ""2025-01-31 21:04"", ""comment_text"": ""못생겼나보군""}, {""comment_date"": ""2025-01-31 21:04"", ""comment_text"": ""못생겼나보군 2""}, {""comment_date"": ""2025-01-31 21:04"", ""comment_text"": ""못생겼나보군 3""}, {""comment_date"": ""2025-01-31 21:04"", ""comment_text"": ""못생겼나보군 4""}, {""comment_date"": ""2025-01-31 21:04"", ""comment_text"": ""못생겼나보군 5""}, {""comment_date"": ""2025-01-31 21:05"", ""comment_text"": ""못생겼나보군 6""}, {""comment_date"": ""2025-01-31 22:19"", ""comment_text"": ""7""}, {""comment_date"": ""2025-01-31 22:20"", ""comment_text"": ""멀긴 한데.. 보통은 걸어서 갈 수 있는 사람 뽑죠""}, {""comment_date"": ""2025-01-31 22:59"", ""comment_text"": ""나두 면접 보면 거리는 거의 다 물어보시던데?""}, {""comment_date"": ""2025-01-31 23:24"", ""comment_text"": ""버스 25분은 애교아닌가 …? 도보 25m 인 사람 뽑을라고 하나 ㅋㅋㅋ\n뭐하면 매번 먼데 다닐 수 있겠냐 소리가 젤 빡쳐 ㅇㅇ""}, {""comment_date"": ""2025-02-01 00:22"", ""comment_text"": ""바쁠때도 쉽게 부를라고 가까운 사람 찾는거에요""}]"
978422,진짜 20살때부터 돈 조금씩 모았어야함,20대 중반부터 취업하면 일년에 최소 2천은 모아야하고30살에 1억이 생각보다 쉽지가 않네요20대 초반때 알바로 놀면서 조금씩 모으는걸 경제 관념을들여야 20대 중후반 30대에 더 걱정 없음,2025-01-31 19:50,"[{""comment_date"": ""2025-01-31 20:03"", ""comment_text"": ""좋은환경에서 자랐나보네 월세 식비없이 알바로 2000 모을생각 쉽지않을텐데""}, {""comment_date"": ""2025-01-31 20:37"", ""comment_text"": ""가면 갈수록 모으기 더 힘들꺼예요 피시방에서 \n어린친구들이 다른친구한테 빛진거봄 ㅋㅋㅋ""}]"
978421,공고에 나와있는 시간 그대로 해야하나요?,너무 많거나 적은 것들이 있는데 궁금해요,2025-01-31 19:45,"[{""comment_date"": ""2025-01-31 20:02"", ""comment_text"": ""너무 많은경우는 오전오후 설정을 잘못한거고(00:00-17:00 들어가보면 12:00-17:00이였음) 너무 짧으면 제대로 올린게 맞더라.(3시간이면)""}]"
978419,신세계 강남점에서 일하는분 있나요?,신세계 강남점에 있는 매장에 합격 됐는데 혹시 직원통로가 어디쯤에 있나요?,2025-01-31 19:42,"[{""comment_date"": ""2025-01-31 19:44"", ""comment_text"": ""백화점 입구쪽에 있었던거 같은데 \n백화점 식당쪽 출구에 있었던거 같아요 지하에""}, {""comment_date"": ""2025-01-31 21:05"", ""comment_text"": ""ㄴ감사합니다""}, {""comment_date"": ""2025-01-31 21:50"", ""comment_text"": ""지하 !  입구 좌측에""}]"
978418,알바 그만 둔다고 말 하려 하는데,6개월 일하기로 하고 계약했어요. 2월까지 일하면 6개월이라 사장님께 2월까지만 일하면 약속한 6개월이서서 그만두어야 할거 같다고 말해도 괜찮을까요? 바로 내일이 2월이니 그만둔다고 하기도 좀 그런가요? ㅠㅠ,2025-01-31 19:42,"[{""comment_date"": ""2025-01-31 19:45"", ""comment_text"": ""기본적 으로는 1달전에 미리 통보를 해주시는 것이 사장 입장으로는 좋습니다""}, {""comment_date"": ""2025-01-31 20:00"", ""comment_text"": ""ㅋㅋㅋ 졸라빨리 말하네""}, {""comment_date"": ""2025-01-31 20:26"", ""comment_text"": ""하루 전 통보는 좀..""}]"
978417,원창컬리 입금,원창컬리 어제 근무했는데 입금이 언제쯤 될까요??,2025-01-31 19:33,[]
978416,콜인력 지원하지마세요,요세 현장일 없는건 저도 알겠는데요 다른데서도  일있으면 연락준다고 회원 대기만 시키고 지금 연락 기다리고 있는중입니다알바몬에 콜인력있길래 지원을 했는데 아직도 연락이 안오네요 그냥 아에 읽고 씹었음  아마도 일 없다고 씹는거 같은데 최소한 말은 해줘야지 이게  무슨경우임?이제 저기 돈 많이 준다해도 안감,2025-01-31 19:25,"[{""comment_date"": ""2025-01-31 22:43"", ""comment_text"": ""다른데도 알아보시미""}]"
978415,평택컬리 어제,근무하신분들 입금됐나요?냉동 파트타임했는데 아직도 안들어왔네요명세서는 떴는데,2025-01-31 19:18,"[{""comment_date"": ""2025-01-31 19:22"", ""comment_text"": ""18:07 1차 19:10 2차 입금됐습니다""}, {""comment_date"": ""2025-01-31 19:22"", ""comment_text"": ""곧 20시에 3차 입금 될거에요""}, {""comment_date"": ""2025-01-31 19:25"", ""comment_text"": ""저는 3차인가보네요\n댓글들 감사합니다""}, {""comment_date"": ""2025-01-31 19:29"", ""comment_text"": ""19:28 3차 입금됐습니더""}, {""comment_date"": ""2025-01-31 19:40"", ""comment_text"": ""입금확인 했어요\n휴 다행""}]"
978413,요즘 알바생들 불친절한 이유는뭐죠?,전 최저받고일해도불친절하게 안하는데왜이리다들 화가나잇는거죠?,2025-01-31 19:15,"[{""comment_date"": ""2025-01-31 19:23"", ""comment_text"": ""음... 거울을 보셔봐요ㅠㅠ 어쩌면 본인한테만 불친절한걸수도요ㅠㅠ""}, {""comment_date"": ""2025-01-31 19:54"", ""comment_text"": ""ㄴ잔인하다. 나도 똑같은말 하려고 했는데. 글쓴이 혹시 아니다 화이팅""}, {""comment_date"": ""2025-01-31 20:35"", ""comment_text"": ""요즘만 그런게 아님! 1825년 한양 남대문거리에서 국밥에 막걸리 먹으러 갔을때도 주모와 알바생들 불친절했음! 나 엽전 많았는데 노숙자 쌍놈 취급함! 심지어 기원전 3000년전 이집트 에 피라미드 벽돌 양중 노가다하러 해외원정갔을때도 점심은 파라오 함바집에서 먹고 옆에 할맥 있어서 들어갔더니 할맥 알바생이 외국인 안받는다고 눈을 세모 모양으로 부릅뜨고 불친절하게 쏘아붙힘! 불친절은 기원전부터 있었다! 로봇이 인간을 대체하면 조금 낫아질듯""}, {""comment_date"": ""2025-01-31 20:40"", ""comment_text"": ""알바니까 대충 때우고 월급 챙기려고요""}, {""comment_date"": ""2025-02-01 00:08"", ""comment_text"": ""별로 신경 안쓰는데  사갈 것만 사감 말 안걸면  땡큐지""}, {""comment_date"": ""2025-02-01 00:46"", ""comment_text"": ""지가어디 코믹영화 처량한 알바생 주연인줄 아는듯 다른일이면 몰라도 서비스직인데 지 꼴리는대로 행동하면 지능ㅈ박은거지 우리나라 애들이 이렇게 미개함ㅋㅋ저런애들 나이처먹고도 지주제파악은 절대 안되있쥬ㅋㅅㅋ""}]"
978411,용인파스토2센터,용인 파스토 2센터의류쪽 다음주 면접가는데 여자가 일하기 괜찮나요 ? 피킹 경험은 있습니다 ㅠㅠ 텃세라던지 ..,2025-01-31 18:51,[]
978410,보통 합격통보 문자는 언제 오나요?,몇일 정도 걸리냐요,2025-01-31 18:34,"[{""comment_date"": ""2025-01-31 18:36"", ""comment_text"": ""당일날 또는 그주 주말전에....""}, {""comment_date"": ""2025-01-31 18:43"", ""comment_text"": ""면접보러 간 날 언제 연락 준다고 해서 일단 기다리는데.. 그 날 연락 안오면 제가 연락 해볼라구요 저번에 기다리다가 계속 안와서 불합격 인지하긴 했지만 어차피 불합격이라면 안볼사이인데 물어보는 것 정도야""}, {""comment_date"": ""2025-01-31 18:49"", ""comment_text"": ""저는 붙었던 곳 모두 면접본 당일에 문자왔거나,그 자리에서 담주부터 오라고 하셨음.""}, {""comment_date"": ""2025-01-31 19:54"", ""comment_text"": ""일반적으로 면접당일 18시까지는 통보해줍니다....회사에서 날짜 지정하지 않는 이상은여~""}]"
978407,월급날 왜 이렇게 안오지,4일이나 더 기다려야돼~!~!,2025-01-31 18:09,"[{""comment_date"": ""2025-01-31 18:36"", ""comment_text"": ""그렇네요ㅠㅠ""}, {""comment_date"": ""2025-01-31 22:02"", ""comment_text"": ""금요일날 은행업무 정상근무인데\n입금이 안되는건가요?""}]"
